EventAppDrawer,0,speakers
Name,Qualifiation,Company,Biography,Talk,picture
Sam Madge-Wyld,Barrister,Arden Chambers,"Sam Madge-Wyld is a barrister practising from Arden Chambers. His areas of specialism include housing, local government and landlord and tenant and he acts for landlords and tenants in a variety of disputes throughout the country. Sam also lectures, teaches and writes extensively in housing law, having co-authored the 6th Edition of the Housing Law Casebook and the 7th edition of Quiet Enjoyment.  He will be giving a general update talk at the Conference on the legal developements during the past year.",The Year in Review,/media/piers/h/Mobile/Mobile/build-EventOrganiser-Desktop_Qt_5_8_0_GCC_64bit2-Debug/speakersSave.csv_4_0.png
Tessa Shepperson,Lawyer,Landlord Law / Easy Law Training,"Tessa is the creator of the Landlord Law information service for which the Conference is named, and a director of Easy Law Training.  She qualified as a solicitor in 1990 and ran her own legal practice between 1994 and 2013.  At that stage she closed down her law firm to concentrate on her other services.  Tessa is an acknowleged expert and writing on residential landlord & tenant law and her blog, the Landlord Law Blog is widely respected.  She is also on the council of the Property Redress Scheme.  Tessa will be talking about tenancy agreements.",Tenancy Agreement Clauses,/media/piers/h/Mobile/Mobile/build-EventOrganiser-Desktop_Qt_5_8_0_GCC_64bit2-Debug/speakersSave.csv_4_1.png
David Smith,Solicitor,Anthony Gold Solicitors,"David is a solicitor and partner in the Legal 500 firm Anthony Gold in London.  He is also the director of policy at the Residential Landlords Association.  David is an acknolwedged expert on HMOs in particular and an experienced trainer and speaker.

He will be taking two talks at the Conference, these are likely to be an update on HMO law and practice and a talk on the little known but increasingly important area of consumer law as it affects landlords and letting agents.",(1) Consumer Law for Landlords & Agents (2) HMO Update,/media/piers/h/Mobile/Mobile/build-EventOrganiser-Desktop_Qt_5_8_0_GCC_64bit2-Debug/speakersSave.csv_4_2.png
David Cox,Barrister,ARLA,"David Cox is the Managing Director of ARLA.  David Cox joined the Association of Residential Letting Agents (ARLA) as Managing Director in June 2014. He has a strong policy and stakeholder engagement background, having held previous senior policy roles at the National Landlords Association (NLA) and the International Union of Property Owners (UIPI). A trained barrister, David has also acted as Parliamentary Advisor to a well-known backbench MP.  David will be talking about letting agent regulation.",Leltting Agent Regulation,/media/piers/h/Mobile/Mobile/build-EventOrganiser-Desktop_Qt_5_8_0_GCC_64bit2-Debug/speakersSave.csv_4_3.png
Peter Marcus,Barrister,Zenith Chambers,"Peter is a specialist housing barrister from Zenith Chambers in Leeds. He advises and appears in court for both public and private landlords in a wide variety of housing related cases. Peter came to the Bar following a career in campaigning and public housing, having worked in Manchesterâ€™s Hulme Redevelopment, for Camden LBC and for the Joseph Rowntree Foundation. Peter will be speaking on defended possession proceedings and court procedures.",(1) Defended Possession Proceedings (2) Court Procedures,/media/piers/h/Mobile/Mobile/build-EventOrganiser-Desktop_Qt_5_8_0_GCC_64bit2-Debug/speakersSave.csv_4_4.png
John King,,TDS,,,/media/piers/h/Mobile/Mobile/build-EventOrganiser-Desktop_Qt_5_8_0_GCC_64bit2-Debug/speakersSave.csv_4_5.png
Sue Lukes,Trainer,,"Sue Lukes is a well-known specialist in migration, equalities and service provision especially local services, advice and community development, utilising the knowledge and contacts gained through careers in refugee resettlement, housing aid and freelancing (since 1996). She is the author of many academic and more practical publications in these fields. In her talk at the 2017 conference she will be updating us on the law and the new Immigration Act .",Right to Rent Update,/media/piers/h/Mobile/Mobile/build-EventOrganiser-Desktop_Qt_5_8_0_GCC_64bit2-Debug/speakersSave.csv_4_6.png
Robert Brown,Barrister,Arden Chambers,"Robert is a barrister at Arden Chambers, a specialist housing law set. He advises and represents both landlords and tenants, in the county courts and in the First-tier Tribunal (Property Chamber) (formerly the Leasehold Valuation Tribunal). He has lectured and provided training on a wide range of landlord and tenant topics and is an editor of the Housing Law Reports.  Robert will be speaking at the Conference about 'leaseholder landlords' ie the law that applies to landlords who are themselves tenants under long leases.",The Leaseholder Landlord,/media/piers/h/Mobile/Mobile/build-EventOrganiser-Desktop_Qt_5_8_0_GCC_64bit2-Debug/speakersSave.csv_4_7.png
